ID	PALABRA	NOTAS TRADUCTOR	ORACION EN CUICATECO	ORACION EN ESPAÑOL	NOTAS ORIGINAL	ESPAÑOL ORIGINAL		
				Yo siempre te pido tortillas.		Yo siempre te pido tortillas.		
				Yo siempre le pido tortillas a él.		Yo siempre le pido tortillas a él.		
				Yo siempre les pido tortillas a ustedes.		Yo siempre les pido tortillas a ustedes.		
				Yo siempre les pido tortillas a ellos.		Yo siempre les pido tortillas a ellos.		
				Tú siempre me pides tortillas.		Tú siempre me pides tortillas.		
				Tú siempre le pides tortillas a él.		Tú siempre le pides tortillas a él.		
				Tú siempre nos pides tortillas.		Tú siempre nos pides tortillas.		
				Tú siempre les pides tortillas a ellos.		Tú siempre les pides tortillas a ellos.		
				Nosotros siempre le pedimos tortillas a usted.		Nosotros siempre le pedimos tortillas a usted.		
				Nosotros siempre le pedimos tortillas a él.		Nosotros siempre le pedimos tortillas a él.		
				Nosotros siempre les pedimos tortillas a ustedes.		Nosotros siempre les pedimos tortillas a ustedes.		
				Nosotros siempre les pedimos tortillas a ellos.		Nosotros siempre les pedimos tortillas a ellos.		
				Ustedes siempre me piden tortillas.		Ustedes siempre me piden tortillas.		
				Ustedes siempre nos piden tortillas.		Ustedes siempre nos piden tortillas.		
				Ustedes siempre les piden tortillas a ellos.		Ustedes siempre les piden tortillas a ellos.		
				Ellos siempre me piden tortillas.		Ellos siempre me piden tortillas.		
				Ellos siempre te piden tortillas.		Ellos siempre te piden tortillas.		
				Ellos siempre le piden tortillas a él.		Ellos siempre le piden tortillas a él.		
				Ellos siempre nos piden tortillas a nosotros	(exclusivo)	Ellos siempre nos piden tortillas a nosotros (exclusivo)		
				Ellos siempre nos piden tortillas a nosotros	(inclusivo)	Ellos siempre nos piden tortillas a nosotros (inclusivo)		
				Ellos siempre les piden tortillas a ustedes.		Ellos siempre les piden tortillas a ustedes.		
				Ellos siempre les piden tortillas a Juan y Pedro.		Ellos siempre les piden tortillas a Juan y Pedro.		
193.			Tako chikata yuntu ú chi che'e chakuta	Ella me pidió tortillas para que comiera su mamá 		Ella me pidió tortilas para su madre.		
194.			¿A chikata yuntu dí?	¿Ella te pidió tortillas?		¿Ella te pidió tortillas?		
195.			Jù, chikata yuntu ú	Sí ella me pidió tortillas.		Sí ella me pidió tortillas.		
196.			¿A du'u chika yuntu dí?	¿Quién te pidió tortillas?		¿Quién te pidió tortillas?		
197.			¿A dae chikata dí?	¿Qué te pidió ella?		¿Qué te pidió ella?		
198.			Gua chikata yuntu ú	Ella no me pidió tortillas.		Ella no me pidió tortillas.		
199.			Nokuó jikata yuntu ú	Ella a veces me pide tortillas.		Ella a veces me pide tortillas.		
200.				Ella nunca me pide tortillas.		Ella nunca me pide tortillas.		
201.				Ella nunca me pidió tortillas.		Ella nunca me pidió tortillas.		
202.			Takó chikueta ú	Ella me enseñó		Ella me enseñó esta canción.		
203.			Taka chikueta ú a taka jiduchiy ño'o jinde'e	Ella me enseñó como se juega el trompo		Ella me explicó el juego.		
204.			Nichi dí iku	Te vi ayer en el mercado.		Te vi ayer en el mercado.		
		sujeto masculino 	Nichi so'ö iku n'iba	Lo vi ayer en el mercado.		Lo vi ayer en el mercado.		
			Nichi insë iku no n'iba 	Los vi a ustedes ayer en el mercado.		Los vi a ustedes ayer en el mercado.		
			Nichi iñsé iku no n'iba	Los vi a ellos ayer en el mercado.		Los vi a ellos ayer en el mercado.		
			A nichid ú iku n'iba	Me viste ayer en el mercado.		Me viste ayer en el mercado.		
			A nichid to'ö iku n'iba	Lo viste ayer en el mercado.		Lo viste ayer en el mercado.		
			Nichid insú iku no n'iba	Nos viste ayer en el mercado.		Nos viste ayer en el mercado.		
				Los viste ayer en el mercado.		Los viste ayer en el mercado.		
			Nichis ú iku n'iba	Me vio ayer en el mercado		Me vio ayer en el mercado		
			Nichis dí iku n'iba	Te vio ayer en el mercado.		Te vio ayer en el mercado.		
				Lo vio ayer en el mercado.		Lo vio ayer en el mercado.		
			Nichiy 'uu iku no n'iba	Nos vio ayer en el mercado.		Nos vio ayer en el mercado.		
			Nichiy insë	Los vio ayer en el mercado.	(a ustedes) 	Los vio (a ustedes) ayer en el mercado.		
			Nichiy iñsé 	Los vio ayer en el mercado.	(a ellos) 	Los vio (a ellos) ayer en el mercado. 		
			Nichin dí iku n'iba	Te vimos ayer en el mercado.		Te vimos ayer en el mercado.		
				Lo vimos ayer en el mercado.		Lo vimos ayer en el mercado.		
				Los vimos ayer en el mercado.	(a ustedes) 	Los vimos (a ustedes) ayer en el mercado. 		
				Los vimos ayer en el mercado.	(a ellos)	Los vimos (a ellos) ayer en el mercado. 		
				Ustedes me vieron ayer en el mercado.		Ustedes me vieron ayer en el mercado.		
				Ustedes lo vieron ayer en el mercado.		Ustedes lo vieron ayer en el mercado.		
				Ustedes nos vieron ayer en el mercado.		Ustedes nos vieron ayer en el mercado.		
				Ustedes los vieron ayer en el mercado.		Ustedes los vieron ayer en el mercado.		
				Ellos me vieron ayer en el mercado.		Ellos me vieron ayer en el mercado.		
				Ellos te vieron ayer en el mercado.		Ellos te vieron ayer en el mercado.		
				Ellos la vieron ayer en el mercado.		Ellos la vieron ayer en el mercado.		
				Ellos nos vieron ayer en el mercado.		Ellos nos vieron ayer en el mercado.		
				Ellos los vieron ayer en el mercado.	(a ustedes) 	Ellos los vieron (a ustedes) ayer en el mercado. 		
				Ellos las vieron ayer en el mercado.	(a ellas) 	Ellos las vieron (a ellas) ayer en el mercado. 		
205.				Ayer no te vi en el mercado.		Ayer no te vi en el mercado.		
206.			¿A nichi ú iku n'iba?	¿Me viste ayer en el mercado?		¿Me viste ayer en el mercado?		
207.			¿A du'u nichid iku n'iba?	¿A quién viste ayer en el mercado?		¿A quién viste ayer en el mercado?		
208.			¿A dae nochid iku n'iba?	¿Qué viste ayer en el mercado?		¿Qué viste ayer en el mercado?		
209.			¿A ti nichid ú?	¿Dónde me viste?		¿Dónde y cuando me viste?		
210.			Kuá ama snï ñe'es	Compraré un sombrero para ella 	(para él)	Me pidió que le comprara un sombrero. (para él)		
211.			Kuá ama snï ñe'e chidata	Compraré un sombrero para su papá 		Me pidió que le comprara un sombrero para su padre.		
212.			Nès dí chi ko'öd Jibaku	Te ordenó qué fueras a Cuicatlán 		El ordenó que fueras a Huamantla.		
213.			Nèta dí chi ko'öd Jibaku	El te ordenó ir a Huamantla.		El te ordenó ir a Huamantla.		
214.			Chineta damid chi dí dukud chi ñe'eta	Ella te acusó de haberle robado.		Ella te acusó de haberle robado.		
215.			¿Dae jikadi jidid?	¿Qué puedes hacer?		¿Qué sabes hacer?		
216.			Un guadbea jikadi jidi	No puedo hacer nada		Yo no sé hacer nada.		
217.			Gua deanu	No sé 		Yo no sé nada.		
218.				¿Sabes nadar?		¿Sabes nadar?		
219.			Juó dimo beade jines 	Juan sólo habla español		Juan sólo sabe hablar español.		
220.			¿A jined beade?	¿Sabes español?		¿Sabes español?		
221.			Jiné beade	Sé español.		Sé español.		
222.				Yo no sé nadar.		Yo no sé nadar.		
223.			¿A chikadinud chi a ndo?	¿Cuándo supiste que yo había llegado?		¿Cuándo supiste que yo había llegado?		
224.			¿A taka chikadinud chi a ndo?	¿Cómo supiste que yo había llegado?		¿Cómo supiste que yo había llegado?		
225.		tl:te doy para que sepas, pero hace referencia a la frase	Jite chi kadinud	Te lo digo para que lo sepas.		Te lo digo para que lo sepas.		
226.			¿A chèd beade?	¿Aprendiste español?		¿Aprendiste español?		
227.			Chiku'u chikueñ ú a taka ika yuntu **	Mi abuela me enseñó a hacer tortillas		Mi abuela me enseñó a cantar.		
			Chiku'u gua chikueñ ú c	Mi abuela no me enseñó a cantar.		Mi abuela no me enseñó a cantar.		
228.				Mi padre me enseñó a no robar.		Mi padre me enseñó a no robar.		
229.			Kakued ú yuni	¡Enséñame el camino!		¡Enséñame el camino!		
230.			Kakued ú dae nád to'od	¡Enséñame que tienes en la mano!		¡Enséñame que tienes en la mano!		
231.			Nichi ndee iti yuni	Vi muchos animales en el camino.		Vi muchos animales en el camino.		
232.			Nichi dae chi no ba'a ko	Vi lo que pasó en esa casa.		Vi lo que pasó en esa casa.		
233.			Nichi chi dimod je'ed yuntu	Vi que estabas comiendo solo.		Vi que estabas comiendo solo.		
234.			Ne'e yuntu	Quiero tortillas.		Quiero tortillas.		
235.			Ne'e ko'ö n'iba 	Quiero ir temprano al mercado.		Quiero ir temprano al mercado.		
236.			¿A dae ne'e did?	¿Qué quieres hacer?		¿Qué quieres hacer?		
237.			Ne'ë kune mu'u	Quiero quedarme aquí.		Quiero quedarme aquí.		
238.			Ne'ë chi kuned mu'u	Quiero que te quedes aquí.		Quiero que te quedes aquí.		
239.			Gua ne'ë chi kuned dimod mu'u	No quiero que te quedes solo aquí.		No quiero que te quedes solo aquí.		
240.			Juó ne'es chi kune bakus	Juan quería que me quedara en su casa.		Juan quería que me quedara en su casa.		
241.			Juó gua ne'es chi kune	Juan no quería que yo me quedara.		Juan no quería que yo me quedara.		
242.			Ko'öd chíd ú chi kanad ama bí'i 	Me dijiste que traerias una fruta 		Me prometiste una manzana.		
243.			Ko'öd chíd ú chi kanad ama bí'i che'e 	Me dijiste que traerias una fruta para que yo comiera		Me prometiste que me ibas a dar una manzana.		
244.				Me prometiste llevarme a Huamantla.		Me prometiste llevarme a Huamantla.		
245.			¿A jitenud Ndios?	¿Crees en Dios?		¿Crees en Dios?		
246.			Nigua kue'es nuku Juó	Creo que él se fue con Juan.		Creo que él se fue con Juan.		
247.			Nigua ni gua ndos	Dudo que venga Juan.		Dudo que venga Juan.		
				No dudo que venga Juan.		No dudo que venga Juan.		
248.			Gua jitenu ñe'es	No le creo		Dudo de su promesa.		
249.				No creo en su promesa.		No creo en su promesa.		
250.				No creo lo que me dijo.		No creo lo que me dijo.		
251.				No sé quién viene.		No sé quién viene.		
252.			¿A denud du'u gua ndo?	¿Sabes quién no viene?		¿Sabes quién no viene?		
253.			Gua deanu du'u ndo	No sé quién vino.		No sé quién vino.		
254.			Gua deanu du'u chi*	No sé quién va a venir.		No sé quién va a venir.		
255.			Gua deanu a ti ko'ös	No sé a dónde va.		No sé a dónde va.		
256.			Gua deanu ku ti kuchis 	No sé por qué vino.		No sé por qué vino.		
257.			Gua deanu ñe'e ti kuchis	No sé de dónde vino.		No sé de dónde vino.		
258.			Gua deanu a taka nandinda chimba'a	No sé cómo arreglar la puerta.		No sé cómo arreglar la puerta.		
259.			Gua deanu dae jinuku Juó	No sé qué vende Juan.		No sé qué vende Juan.		
260.			Gua deanu chi kuchid	No sabía que venías.		No sabía que venías.		
261.			Gua chikadinu du'u ndó	No supe quién vino.		No supe quién vino.		
262.			Chimjinu nangadí chimba'am	Me olvidé de cerrar la puerta.		Me olvidé de cerrar la puerta.		
263.			Chimjinu chi ndod jobeku	Me olvidé de que llegabas hoy.		Me olvidé de que llegabas hoy.		
264.			Chimjinu chi a taka jobed	Me olvidé de tu nombre.		Me olvidé de tu nombre.		
265.			¿Dae chimjinud?	¿Qué olvidaste?		¿Qué olvidaste?		
266.				¿De qué te olvidaste?		¿De qué te olvidaste?		
267.			Yeabean jinuku yaku yada ko	Vuela muy alto ese pájaro 		Ese pájaro puede volar mucho.		
268.			Yada kon gua jikadi jinuku yakut	Ese pájaro  no puede volar.		Ese pájaro no puede volar.		
269.			Gua jikadi jea ti'ö	No puedo subirme al árbol.		No puedo subirme al árbol.		
270.			Gua chikadi chindoo ba'am ti nudi chimba'am****	No pude entrar en la casa porque la puerta estaba cerrada.		No pude entrar en la casa porque la puerta estaba cerrada.		
271.			Kadi cho'od chinjíku tochi dùbii nuni	Vas a poder cruzar el río cuando tenga poca agua.		Vas a poder cruzar el río cuando tenga poca agua.		
272.			Jikadi jidijù per gua lápiz ño'ö	Sé escribir, pero no puedo porque no tengo lápiz.		Sé escribir, pero no puedo porque no tengo lápiz.		
273.			Ne'ë kó ti'ö ko, per gua jikadi geá	Quiero subirme a ese árbol pero no puedo.		Quiero subirme a ese árbol pero no puedo.		
274.			Kadi kó ti'ö ko, per gua ne'e	Puedo subirme a ese árbol, pero no quiero.		Puedo subirme a ese árbol, pero no quiero.		
275.			Ne'e chi ko'ö di ntiñu 	Es necesario que vaya a trabajar 		Tengo que trabajar.		
276.			Iku yeaben dí ntiñu	Ayer tuve que trabajar mucho.		Ayer tuve que trabajar mucho.		
277.			Ne'e chi ko'öd did ntiñu	Tienes que trabajar.		Tienes que trabajar.		
278.			Ne'e chi ko'ö kakiö jideaku	Hay que quemar la basura.		Hay que quemar la basura.		
279.				Va a haber que quemar la basura.		Va a haber que quemar la basura.		
280.			Gua eanu chi no'od 	No me gusta que te vayas.		No me gusta que te vayas.		
281.			Nangakud chi ne'e chi ku'uu diuu ntiñu	Acuérdate de que tenemos que trabajar.		Acuérdate de que tenemos que trabajar.		
282.			Gua eanu iñsë	No me gusta esa gente.		No me gusta esa gente.		
			Gua eanu comida ku	No me gusta esta comida.		No me gusta esa comida.		
283.			Nangakud neachead ba'a	Acuérdate de barrer la casa.		Acuérdate de barrer la casa.		
284.		sujeto masculino 	Tumgo'os dae ne'e	Me preguntó qué quería yo.		Me preguntó qué quería yo.		
285.			Jinangaku íñ ñe'e	Extraño a mi familia.		Siempre pienso en mi familia.		
286.				Mañana pienso salir temprano.		Mañana pienso salir temprano.		
287.			Gua deanu chea ne'eta	No sé cuál quere.		No sé cuál quere.		
288.				Acostumbro levantarme temprano.		Acostumbro levantarme temprano.		
289.			Nikua ndininu comida ñe'e mu'u	No me acostumbro a la comida de aquí.		No me acostumbro a la comida de aquí.		
290.			Ndininus chi temprano jinankués	Lo acostumbró a levantarse temprano.		Lo acostumbró a levantarse temprano.		
291.			Jobku kutoko'o kùchi 	Hoy empiezo a sembrar.		Hoy empiezo a sembrar.		
292.			Iku chitoko'o chichí	Ayer empecé a sembrar.		Ayer empecé a sembrar.		
293.			kabiö kutoko'o kùchi	Mañana voy a empezar a sembrar.		Mañana voy a empezar a sembrar.		
294.			Jobku kutoko'o biku	Hoy empieza la fiesta.		Hoy empieza la fiesta en el pueblo.		
295.			Jobku kuin kùchi	Hoy acabo de sembrar.		Hoy acabo de sembrar.		
296.			Iku chinu chichí	Ayer acabé de sembrar.		Ayer acabé de sembrar.		
297.			Kabiö kuin kùchi	Mañana voy a acabar de sembrar.		Mañana voy a acabar de sembrar.		
298.			Jobku kùchi ka	Hoy voy a seguir sembrando.		Hoy voy a seguir sembrando.		
299.			Iku chichí ka	Ayer seguí sembrando.		Ayer seguí sembrando.		
300.				¡Siga el camino!		¡Siga el camino!		
301.			Che'ë nichi so'ö no bakus	Fui a verlo a su casa.		Fui a verlo a su casa.		
302.			¿A ne'éd ama née Jiguyum?	¿Has ido alguna vez a México?		¿Has ido alguna vez a Huamantla?		
303.			¿Takue chi gua che'ë insé?	Por qué no fueron ustedes?		Por qué no fueron ustedes?		
304.			Job jobe jichis ñe'e yuduu	Viene todos los días por los caballos.		Viene todos los días por los caballos.		
305.			Kód tumad naídii	Súbete a cortar ese aguacate.		Súbete a bajar ese aguacate.		
306.			Kuchid kuned ú	Ven a ayudarme.		Ven a ayudarme.		
307.			Kuchid kuned ú chi kuto'uu burru	Ven a ayudarme a atrapar al burro.		Ven a ayudarme a cargar el burro.		
308.			Dayan kaneñ kunenoñ ba'am	Mis hijos se quedaron a cuidar la casa.		Mis hijos se quedaron a cuidar la casa.		
309.				¡Baja a recogerlo!		¡Baja a recogerlo!		
310.				Salió de la casa a saludarme.		Salió de la casa a saludarme.		
311.				Estoy por ir al mercado.		Estoy por ir al mercado.		
312.				Estaba por ir al mercado, pero me quedé en la casa.		Estaba por ir al mercado, pero me quedé en la casa.		
313.				Hoy me pongo a trabajar.		Hoy me pongo a trabajar.		
314.				Dejó aquí la canasta.		Dejó aquí la canasta.		
315.				Dejó abierta la puerta.		Dejó abierta la puerta.		
316.				Déjalo entrar.		Déjalo entrar.		
317.				No dejó de trabajar aunque estaba enfermo.		No dejó de trabajar aunque estaba enfermo.		
318.				Trabajo todos los días.		Trabajo todos los días.		
319.				Hace un año que no trabajo.		Hace un año que no trabajo.		
320.				No trabajo desde ayer.		No trabajo desde ayer.		
321.				Este año trabajé mucho.		Este año trabajé mucho.		
322.				Estoy trabajando desde ayer		Estoy trabajando desde ayer		
323.				Esta mañana trabajé mucho.		Esta mañana trabajé mucho.		
324.				Siembre trabajo de tarde.		Siembre trabajo de tarde.		
325.				Mañana trabajo.		Mañana trabajo.		
326.				¿Trabajarás?	(ahora)	¿Trabajarás (ahora)?		
327.				¿Trabajarás?	(mañana)	¿Trabajarás (mañana)?		
328.				Me voy a trabajar otra vez.		Me voy a trabajar otra vez.		
329.				Juan ya está trabajando.		Juan ya está trabajando.		
330.				¡Empieza a trabajar!		¡Empieza a trabajar!		
331.				Me dio pena no poder ayudarlo.		Me dio pena no poder ayudarlo.		
332.				Ese árbol se va a caer pronto.		Ese árbol se va a caer pronto.		
333.				El árbol se cayó.		El árbol se cayó.		
334.				Se me hinchó el pie.		Se me hinchó el pie.		
335.				Tengo el pie hinchado.		Tengo el pie hinchado.		
336.				Me ensucié la camisa con lodo.		Me ensucié la camisa con lodo.		
337.				Se me ensució la camisa con lodo.		Se me ensució la camisa con lodo.		
338.				El fuego arde bien.		El fuego arde bien.		
339.				Tu casa está ardiendo.		Tu casa está ardiendo.		
340.				Quemé las tortillas.		Quemé las tortillas.		
341.				Las tortillas se quemaron.		Las tortillas se quemaron.		
342.				Las tortillas están quemadas.		Las tortillas están quemadas.		
343.				Me duele la cabeza.		Me duele la cabeza.		
344.				Mi hijo se enfermó.		Mi hijo se enfermó.		
345.				Mi hijo está enfermo.		Mi hijo está enfermo.		
346.				Estoy enfermo.		Estoy enfermo.		
347.				Estuve enfermo.		Estuve enfermo.		
348.				Mi tía se murió.		Mi tía se murió.		
349.				Ese hombre está muerto.		Ese hombre está muerto.		
350.				Juan se ríe mucho.		Juan se ríe mucho.		
351.				Juan se ríe de ti.		Juan se ríe de ti.		
352.				A ese hombre lo mataron ayer.		A ese hombre lo mataron ayer.		
353.				Me cansé en la subida.		Me cansé en la subida.		
354.				Ahora estoy cansado.		Ahora estoy cansado.		
355.				El caballo se cansó.		El caballo se cansó.		
356.				El caballo está cansado.		El caballo está cansado.		
357.				Cansó al caballo.		Cansó al caballo.		
358.				María está durmiendo al nene.		María está durmiendo al nene.		
359.				María se durmió.		María se durmió.		
360.				María hizo dormir al nene.		María hizo dormir al nene.		
361.				Juan va a agrandar la casa.		Juan va a agrandar la casa.		
362.				María va a achicar la camisa.		María va a achicar la camisa.		
363.				Juan agranda la casa todos los años.		Juan agranda la casa todos los años.		
364.				El chile se pone rojo cuando madura.		El chile se pone rojo cuando madura.		
365.				Juan blanqueó la casa.		Juan blanqueó la casa.		
366.				La olla es negra.		La olla es negra.		
367.				El humo ennegreció la olla.		El humo ennegreció la olla.		
368.				Eeste niño ahora es malo pero se va a hacer bueno.		Eeste niño ahora es malo pero se va a hacer bueno.		
369.				Juan me hizo reir.		Juan me hizo reir.		
370.				Agujeree la tabla.		Agujeree la tabla.		
371.				La tabla está agujereada.		La tabla está agujereada.		
372.				Enlodé la canasta.		Enlodé la canasta.		
373.				La canasta está enlodada.		La canasta está enlodada.		
374.				La canasta se enlodó.		La canasta se enlodó.		
375.				La canasta tiene lodo en el asa.		La canasta tiene lodo en el asa.		
376.				El asa de la canasta está enlodada.		El asa de la canasta está enlodada.		
377.				Mi perro se murió.		Mi perro se murió.		
378.				Juan mató a mi perro.		Juan mató a mi perro.		
379.				Juan hizo matar a mi perro.		Juan hizo matar a mi perro.		
380.				El me hizo matar a mi perro.		El me hizo matar a mi perro.		
381.				El me obligó a matar al perro.		El me obligó a matar al perro.		
382.				Yo traje la leña.		Yo traje la leña.		
383.				Me hizo traer la leña.		Me hizo traer la leña.		
384.				María calentó el agua.		María calentó el agua.		
385.				El agua está caliente.		El agua está caliente.		
386.				¡No arrugues ese trapo!		¡No arrugues ese trapo!		
387.				El trapo está arrugado.		El trapo está arrugado.		
388.				María lavó los platos.		María lavó los platos.		
389.				Los platos están lavados.		Los platos están lavados.		
390.				Juan cerro la puerta.		Juan cerro la puerta.		
391.				Juan abrió la puerta.		Juan abrió la puerta.		
				La puerta se cerró.		La puerta se cerró.		
				La puerta se abrió.		La puerta se abrió.		
392.				La puerta está cerrada.		La puerta está cerrada.		
				La puerta está abierta.		La puerta está abierta.		
393.				El caballo está corriendo.		El caballo está corriendo.		
394.				Juan está haciendo correr al caballo.		Juan está haciendo correr al caballo.		
395.				Juan se sentó.		Juan se sentó.		
396.				Juan sentó al niño en la mesa.		Juan sentó al niño en la mesa.		
397.				Esta milpa fue sembrada por mis hijos.		Esta milpa fue sembrada por mis hijos.		
398.				Llegó cantando.		Llegó cantando.		
399.				Pasó silbando.		Pasó silbando.		
401.				Llegó cansado.		Llegó cansado.		
402.				Se rio hasta caerse.		Se rio hasta caerse.		
403.				Trabaja sin ganas.		Trabaja sin ganas.		
				Trabaja con ganas.		Trabaja con ganas.		
404.				Vino a pie.		Vino a pie.		
405.				Vino a caballo.		Vino a caballo.		
406.				Juan salió con sombrero.		Juan salió con sombrero.		
				Juan salió sin sombrero.		Juan salió sin sombrero.		
407.				Trabaja apurado,		Trabaja apurado,		
408.				Acaba de amarrar al burro.		Acaba de amarrar al burro.		
409.				Lo amarró con dificultad.		Lo amarró con dificultad.		
410.				Me llamó a gritos.		Me llamó a gritos.		
411.				¡Habla en voz alta!		¡Habla en voz alta!		
				¡Habla en voz baja!		¡Habla en voz baja!		
412.				¡Mantén el mecate tirante!		¡Mantén el mecate tirante!		
				¡Mantén el mecate firme!		¡Mantén el mecate firme!		
413.				¡Mantén el brazo rígido!		¡Mantén el brazo rígido!		
				¡Mantén el brazo flojo!		¡Mantén el brazo flojo!		
414.				¡Camina en línea recta!		¡Camina en línea recta!		
415.				¡Siéntate derecho!		¡Siéntate derecho!		
416.				Arrojó la piedra con fuerza.		Arrojó la piedra con fuerza.		
				Arrojó la piedra sin fuerza.		Arrojó la piedra sin fuerza.		
417.				La espina se me clavó profundamente.		La espina se me clavó profundamente.		
				La espina se me clavó superficialmente.		La espina se me clavó superficialmente.		
418.				¡Frota con suavidad!		¡Frota con suavidad!		
				¡Frota con energía!		¡Frota con energía!		
419.				¡Levanta el costal poco a poco!		¡Levanta el costal poco a poco!		
				¡Levanta el costal de una vez!		¡Levanta el costal de una vez!		
420.				¡No cierres la puerta de golpe!		¡No cierres la puerta de golpe!		
421.				De día puedo caminar rápido.		De día puedo caminar rápido.		
422.				De noche tengo que caminar despacio.		De noche tengo que caminar despacio.		
423.				Juan usó un mecate como cinturón.		Juan usó un mecate como cinturón.		
424.				¿De qué murió tu tío?		¿De qué murió tu tío?		
425.				Murió de viruela.		Murió de viruela.		
426.				¿Cuánto cuesta esta canasta?		¿Cuánto cuesta esta canasta?		
427.				Cuesta diez mil.		Cuesta diez mil.		
428.				¿Cuánto pesa este costal?		¿Cuánto pesa este costal?		
429.				Pesa diez kilos.		Pesa diez kilos.		
430.				¡Corta el mecate con el cuchillo!		¡Corta el mecate con el cuchillo!		
431.				¡Rómpelo con las manos!		¡Rómpelo con las manos!		
432.				¡Atalo con este mecate!		¡Atalo con este mecate!		
433.				¿Cómo vas a llevar la leña?		¿Cómo vas a llevar la leña?		
434.				La voy a llevar en el burro.		La voy a llevar en el burro.		
435.				¿En que viniste del pueblo?		¿En que viniste del pueblo?		
436.				Vine en camión.		Vine en camión.		
437.				Vine en mula.		Vine en mula.		
438.				Las canastas se hacen de palma.		Las canastas se hacen de palma.		
439.				Las ollas se hacen de barro.		Las ollas se hacen de barro.		
440.				¡Llena la olla con agua!		¡Llena la olla con agua!		
441.				¡Aparta la rama con el pie!		¡Aparta la rama con el pie!		
442.				¡No golpees la olla con el palo!		¡No golpees la olla con el palo!		
443.				Para hacer adobe, se mezcla lodo con paja.		Para hacer adobe, se mezcla lodo con paja.		
444.				Vino con Juan.		Vino con Juan.		
445.				Vino con mi amigo.		Vino con mi amigo.		
446.				Vino conmigo.		Vino conmigo.		
447.				Juan y Pedro trabajan juntos.		Juan y Pedro trabajan juntos.		
448.				¿Cuántas veces viniste?		¿Cuántas veces viniste?		
449.				¿Dónde está sentado el niño?		¿Dónde está sentado el niño?		
450.				Está sentado enfrente de mí.		Está sentado enfrente de mí.		
				Está sentado detrás de mí.		Está sentado detrás de mí.		
				Está sentado adelante de mí		Está sentado adelante de mí		
				Está sentado junto de mí.		Está sentado junto de mí.		
451.				Mi papá entró a la casa.	(allá)	Mi papá entró a la casa. (allá)		
				Mi papá entró a la casa	(acá)	Mi papá entró a la casa (acá)		
452.				¿A dónde entró tu papá?		¿A dónde entró tu papá?		
453.				Mi papá salió de la casa.		Mi papá salió de la casa.		
454.				¿De dónde salió tu papá?		¿De dónde salió tu papá?		
455.				El gato se subió al árbol.		El gato se subió al árbol.		
456.				El gato bajó del árbol		El gato bajó del árbol		
457.				Puso el dinero en el bolsillo.		Puso el dinero en el bolsillo.		
458.				Sacó el dinero del bolsillo.		Sacó el dinero del bolsillo.		
459.				Juan salió por la puerta.		Juan salió por la puerta.		
460.				Juan se cayó en el pozo.		Juan se cayó en el pozo.		
461.				Juan se sentó en la silla.		Juan se sentó en la silla.		
462.				Juan se sentó en el suelo.		Juan se sentó en el suelo.		
463.				Juan se cayó del techo.		Juan se cayó del techo.		
464.				Juan se cayó sobre el techo.	(estaba subido en un árbol y...)	Juan se cayó sobre el techo. (estaba subido en un árbol y...)		
465.				Juan viene de Huamantla.		Juan viene de Huamantla.		
				Juan viene del pueblo.		Juan viene del pueblo.		
				Juan viene de la milpa.		Juan viene de la milpa.		
466.				Juan no vino por el camino sino a través de la milpa.		Juan no vino por el camino sino a través de la milpa.		
467.				Juan se cayó en el río.		Juan se cayó en el río.		
				Juan se cayó en el agua.		Juan se cayó en el agua.		
468.				Juan se tiró al río.		Juan se tiró al río.		
469.				Juan se está bañando en el río.		Juan se está bañando en el río.		
470.				Vayamos hasta el río.		Vayamos hasta el río.		
471.				Juan llegó hasta mi casa y no quiso seguir caminando.		Juan llegó hasta mi casa y no quiso seguir caminando.		
472.				Juan anduvo por mi casa.		Juan anduvo por mi casa.		
473.				Juan vino por el lado del río.		Juan vino por el lado del río.		
474.				En medio del camino hay una piedra grnde.		En medio del camino hay una piedra grnde.		
475.				Al lado del camino hay árboles.		Al lado del camino hay árboles.		
476.				El centro del comal está quebrado.		El centro del comal está quebrado.		
477.				Hay una mosca en el centro del comal.		Hay una mosca en el centro del comal.		
478.				El comal se partió por en medio.		El comal se partió por en medio.		
479.				Juan es el de en medio.	(De esos tres hombres que se acercan)	Juan es el de en medio. (De esos tres hombres que se acercan)		
480.				Vamos a sembrar de este lado de la casa.		Vamos a sembrar de este lado de la casa.		
481.				¿Siembran ustedes a la orilla del camino?		¿Siembran ustedes a la orilla del camino?		
482.				El hombre salió.		El hombre salió.		
483.				El hombre está borracho.		El hombre está borracho.		
484.				El hombre que salió estaba borracho.		El hombre que salió estaba borracho.		
485.				El hombre salió borracho.		El hombre salió borracho.		
486.				Vi al hombre que estaba borracho.		Vi al hombre que estaba borracho.		
487.				Encontré borracho al hombre.		Encontré borracho al hombre.		
488.				Vine con el hombre que estaba borracho.		Vine con el hombre que estaba borracho.		
489.				¿Cuál de los hombres que estaba borracho salió?		¿Cuál de los hombres que estaba borracho salió?		
490.				El hombre mató al perro		El hombre mató al perro		
491.				El perro estaba mordiendo al hombre.		El perro estaba mordiendo al hombre.		
492.				El hombre mató al perro que lo estaba mordiendo.		El hombre mató al perro que lo estaba mordiendo.		
492.				El perro me estaba mordiendo.		El perro me estaba mordiendo.		
